date,unvaccinated_cases,vaccinated_cases,unvaccinated_hosp,vaccinated_hosp,unvaccinated_deaths,vaccinated_deaths,population_unvaccinated,population_vaccinated
2/1/21,13818,21,794,0,12,0,32631343,338949
2/2/21,11359,18,631,0,15,0,32514813,373123
2/3/21,10335,27,565,1,17,0,32379775,409723
2/4/21,9013,16,501,0,19,0,32216190,431324
2/5/21,8404,16,512,0,27,0,32053017,447262
2/6/21,5974,11,378,1,31,0,31949408,460433
2/7/21,4636,8,386,0,45,0,31891222,465527
2/8/21,8406,26,471,1,38,0,31775010,503330
2/9/21,6952,15,433,1,38,0,31636058,544324
2/10/21,6625,23,396,0,46,0,31485633,586841
2/11/21,5877,25,344,1,48,0,31323389,624001
2/12/21,5518,19,375,2,58,0,31166480,661638
2/13/21,3975,11,274,0,48,0,31051147,678125
2/14/21,3165,4,237,0,60,0,30981883,683567
2/15/21,4733,21,290,2,61,0,30852734,727855
2/16/21,5066,23,326,0,56,0,30702714,776074
2/17/21,4504,23,264,1,55,0,30537195,834417
2/18/21,3879,24,242,0,61,0,30361472,899415
2/19/21,3692,24,243,1,75,0,30185098,983845
2/20/21,2781,14,199,0,54,0,30057990,1020745
2/21/21,2368,15,180,1,50,1,30004458,1038218
2/22/21,4137,41,239,0,70,0,29878657,1104022
2/23/21,3603,24,230,1,58,0,29747487,1194181
2/24/21,3429,20,215,0,67,0,29605404,1312967
2/25/21,3024,25,204,2,60,0,29455725,1440710
2/26/21,2942,32,211,1,57,1,29302675,1573108
2/27/21,2261,11,159,0,58,0,29207101,1651474
2/28/21,1946,14,159,1,61,1,29153604,1697418
3/1/21,3351,20,221,0,47,0,29072012,1764877
3/2/21,2867,35,174,3,58,0,28934059,1890036
3/3/21,2796,42,145,2,38,2,28801357,2030151
3/4/21,2595,32,168,2,49,1,28665385,2181947
3/5/21,2571,25,206,3,45,0,28529764,2314098
3/6/21,1952,19,137,2,42,0,28441656,2389962
3/7/21,1732,25,150,2,37,0,28395756,2436609
3/8/21,2950,44,184,2,41,0,28307306,2528598
3/9/21,2502,33,136,1,46,0,28194051,2664146
3/10/21,2448,45,163,4,49,1,28050265,2829003
3/11/21,2265,41,148,6,34,0,27869340,2998035
3/12/21,2176,41,130,3,47,0,27658625,3171648
3/13/21,1675,25,136,5,40,0,27506634,3293825
3/14/21,1418,26,91,2,37,0,27422670,3357251
3/15/21,2539,46,161,6,24,0,27269707,3472344
3/16/21,2215,48,148,4,41,1,27080797,3605705
3/17/21,2282,46,142,2,51,0,26874017,3762705
3/18/21,1917,41,132,3,44,0,26653108,3925351
3/19/21,1866,30,144,3,32,0,26426334,4069357
3/20/21,1533,21,84,1,49,1,26249183,4176365
3/21/21,1402,26,106,4,30,1,26154753,4231761
3/22/21,2365,53,159,4,28,0,25989172,4315596
3/23/21,2130,51,125,3,23,0,25799317,4453500
3/24/21,2239,83,113,3,29,0,25590451,4612923
3/25/21,1919,59,110,4,35,0,25354759,4808654
3/26/21,1927,79,127,6,24,2,25106280,5023463
3/27/21,1435,38,101,3,31,0,24915729,5163315
3/28/21,1409,24,117,1,19,0,24819484,5244950
3/29/21,2356,58,122,2,22,1,24634766,5384980
3/30/21,2088,60,111,8,27,0,24394692,5551336
3/31/21,2019,80,110,5,27,1,24126923,5709454
4/1/21,2024,62,116,5,24,0,23861302,5885250
4/2/21,1908,53,113,2,16,0,23593141,6070435
4/3/21,1486,45,92,5,18,0,23383198,6185933
4/4/21,1357,35,109,3,23,0,23286007,6247407
4/5/21,2489,62,121,3,18,1,23091858,6349408
4/6/21,2217,63,119,6,13,0,22855160,6498391
4/7/21,2189,64,134,3,22,0,22610250,6672635
4/8/21,1917,62,114,6,24,0,22350753,6867743
4/9/21,1916,69,134,6,26,0,22092535,7081777
4/10/21,1560,41,130,3,24,0,21917591,7245972
4/11/21,1336,44,109,6,15,0,21823093,7332122
4/12/21,2291,109,147,13,25,0,21636460,7481929
4/13/21,2044,71,108,12,18,0,21387784,7670460
4/14/21,2017,68,131,8,23,0,21121832,7872071
4/15/21,1755,65,109,4,22,0,20801273,8108845
4/16/21,1681,63,127,8,16,1,20492624,8341219
4/17/21,1289,45,94,8,19,1,20280224,8515004
4/18/21,1206,47,113,7,20,2,20202558,8593403
4/19/21,1968,95,154,8,21,2,19983040,8786999
4/20/21,1761,87,120,5,19,0,19687987,9037021
4/21/21,1647,80,97,8,24,1,19379731,9295171
4/22/21,1507,85,102,11,14,0,19050220,9574216
4/23/21,1483,71,93,2,16,0,18732813,9856949
4/24/21,1129,64,98,12,19,0,18495610,10082472
4/25/21,999,50,93,6,16,2,18379990,10198461
4/26/21,1744,103,126,10,15,0,18178741,10390809
4/27/21,1527,91,74,9,19,1,17930055,10591687
4/28/21,1479,89,111,5,9,1,17688154,10818585
4/29/21,1322,99,97,9,16,1,17407025,11046495
4/30/21,1316,92,102,8,10,0,17145553,11280557
5/1/21,1031,82,88,10,14,0,16944320,11436865
5/2/21,917,56,62,6,14,1,16858956,11520025
5/3/21,1596,105,120,10,15,1,16705140,11697085
5/4/21,1314,94,73,14,12,3,16496616,11917486
5/5/21,1355,93,86,12,15,0,16280425,12157043
5/6/21,1239,84,114,5,21,5,16071413,12421700
5/7/21,1150,85,104,12,17,0,15862711,12678797
5/8/21,845,61,79,6,13,3,15691974,12848097
5/9/21,754,52,68,5,19,1,15608987,12921515
5/10/21,1333,98,87,11,7,1,15470496,13101116
5/11/21,1187,87,66,8,23,0,15308915,13334255
5/12/21,1057,91,85,13,21,1,15148229,13555886
5/13/21,951,76,57,8,20,3,14999972,13800906
5/14/21,929,74,71,7,13,2,14840222,14049918
5/15/21,715,54,47,4,16,0,14737602,14217390
5/16/21,644,58,73,4,10,1,14691101,14297127
5/17/21,1039,115,71,8,13,0,14604743,14478478
5/18/21,976,104,73,10,12,1,14495914,14718850
5/19/21,921,82,66,12,20,0,14387406,14971783
5/20/21,779,80,80,5,15,1,14283976,15247625
5/21/21,765,79,68,8,13,1,14175311,15515111
5/22/21,556,45,59,6,9,2,14101611,15691518
5/23/21,540,38,63,9,18,1,14073113,15765661
5/24/21,945,106,87,3,18,0,14012132,15928294
5/25/21,824,91,75,9,11,2,13928511,16139365
5/26/21,759,75,62,9,15,1,13843745,16346125
5/27/21,725,75,57,3,14,0,13713029,16551901
5/28/21,675,64,62,5,9,0,13565867,16769145
5/29/21,485,43,56,5,12,3,13440456,16940238
5/30/21,482,48,58,9,6,2,13378137,17027222
5/31/21,481,51,73,5,13,0,13272120,17178339
6/1/21,941,123,86,13,11,1,13150424,17357470
6/2/21,831,87,89,10,14,1,13025515,17527587
6/3/21,773,103,68,18,9,0,12912047,17698103
6/4/21,653,84,67,4,14,1,12793366,17882043
6/5/21,502,65,58,7,8,0,12696781,18004269
6/6/21,488,55,60,9,9,2,12654010,18058066
6/7/21,781,104,67,6,8,1,12576513,18167328
6/8/21,829,104,87,11,8,2,12492195,18288329
6/9/21,700,94,65,8,6,0,12409416,18405382
6/10/21,661,109,69,7,6,1,12328785,18512658
6/11/21,633,98,60,8,6,0,12237367,18624855
6/12/21,516,75,63,5,7,1,12182439,18684832
6/13/21,550,72,75,10,7,0,12158430,18712496
6/14/21,898,114,97,12,11,1,12150505,18726510
6/15/21,800,119,71,10,13,1,12080776,18839418
6/16/21,837,120,84,20,8,0,12017256,18931478
6/17/21,785,123,79,11,8,2,11955829,19054911
6/18/21,691,121,72,10,8,0,11887153,19199940
6/19/21,567,97,74,10,5,2,11836349,19317908
6/20/21,577,129,79,9,3,1,11816608,19366818
6/21/21,1039,208,119,12,7,0,11768451,19466600
6/22/21,985,182,98,12,10,0,11712591,19582085
6/23/21,918,166,83,15,2,1,11661729,19696796
6/24/21,1004,210,106,9,9,0,11609765,19805241
6/25/21,955,193,99,8,8,1,11551087,19919577
6/26/21,801,159,86,11,10,4,11513329,20005525
6/27/21,850,199,103,19,8,0,11499634,20040505
6/28/21,1386,330,117,13,6,1,11453340,20121164
6/29/21,1342,330,107,14,8,1,11398234,20212287
6/30/21,1460,349,148,18,17,1,11346790,20294866
7/1/21,1561,355,146,15,13,0,11295705,20372778
7/2/21,1409,376,126,17,10,1,11238995,20459488
7/3/21,1206,295,142,19,8,1,11204622,20509476
7/4/21,1113,304,133,16,4,1,11190703,20529550
7/5/21,1963,570,164,24,12,1,11145790,20566357
7/6/21,2581,678,224,28,10,2,11098284,20630550
7/7/21,2662,715,225,27,11,2,11051888,20688941
7/8/21,2513,675,186,42,14,0,11007098,20745589
7/9/21,2518,711,215,26,16,1,10955994,20810834
7/10/21,2203,596,209,30,10,4,10923112,20852585
7/11/21,2108,673,212,32,13,2,10907384,20871380
7/12/21,3705,1088,273,29,15,0,10869659,20913668
7/13/21,3679,1134,283,43,16,1,10827767,20964324
7/14/21,3777,1164,270,55,15,0,10786028,21009945
7/15/21,3933,1266,279,58,16,2,10746949,21053614
7/16/21,3972,1270,298,54,18,0,10703482,21102995
7/17/21,3096,1056,269,47,17,4,10679404,21129255
7/18/21,3251,1069,301,42,11,0,10677420,21131303
7/19/21,5546,1886,391,63,17,2,10655723,21154066
7/20/21,5552,1844,366,67,21,4,10616449,21209809
7/21/21,5658,2119,392,81,17,2,10579631,21255288
7/22/21,5492,1837,425,78,26,6,10544419,21298617
7/23/21,5345,1725,438,68,27,7,10502481,21348148
7/24/21,4459,1477,455,57,20,4,10476102,21378688
7/25/21,4233,1490,424,69,23,4,10463477,21391750
7/26/21,7730,2603,564,104,22,3,10430708,21431757
7/27/21,7352,2538,556,98,25,7,10394258,21471991
7/28/21,7665,2801,564,100,29,5,10359193,21510997
7/29/21,7693,2576,557,94,29,5,10322832,21549047
7/30/21,7240,2427,551,93,18,8,10277449,21593859
7/31/21,5506,1906,496,72,45,6,10248110,21622627
8/1/21,5475,1964,521,95,30,5,10233563,21635971
8/2/21,9205,3151,680,111,52,6,10195520,21671469
8/3/21,9165,3422,711,124,41,9,10151126,21710496
8/4/21,9095,3193,706,103,43,7,10107507,21748469
8/5/21,8962,3023,650,116,42,6,10062172,21784729
8/6/21,8261,2797,624,106,48,9,10007574,21826453
8/7/21,6188,2195,600,93,49,8,9973683,21850850
8/8/21,5462,2118,534,104,58,10,9954209,21857647
8/9/21,10418,3511,752,144,62,5,9905874,21884682
8/10/21,10176,3572,762,120,63,10,9852644,21920359
8/11/21,9817,3286,665,101,66,5,9798436,21954713
8/12/21,8983,3234,645,117,71,14,9745203,21987125
8/13/21,8542,2828,688,119,104,12,9683392,22026285
8/14/21,5951,2124,568,103,76,7,9645008,22049960
8/15/21,5158,1853,555,84,63,6,9624393,22060405
8/16/21,10063,3398,718,151,93,18,9570381,22089955
8/17/21,9640,3240,738,142,99,13,9510882,22124541
8/18/21,9175,3178,651,124,76,17,9454869,22156883
8/19/21,8594,2822,647,108,88,15,9397679,22189800
8/20/21,8191,2738,709,115,92,8,9329680,22230770
8/21/21,5467,1967,524,105,90,16,9288602,22255778
8/22/21,4558,1764,503,88,84,15,9265681,22268781
8/23/21,9360,3122,678,110,86,20,9209920,22304482
8/24/21,8496,3046,633,145,100,22,9153230,22342499
8/25/21,8273,2856,641,112,104,19,9101842,22378521
8/26/21,7493,2550,586,106,113,18,9046645,22415938
8/27/21,6701,2380,539,125,102,16,8979451,22463432
8/28/21,4751,1716,500,91,117,21,8937863,22493313
8/29/21,4029,1502,481,85,94,14,8916017,22509670
8/30/21,7943,2763,593,131,90,22,8864037,22550783
8/31/21,7404,2599,571,89,104,22,8811177,22595554
9/1/21,7785,2759,580,121,103,17,8760245,22639979
9/2/21,6566,2282,511,106,133,14,8709414,22683363
9/3/21,5966,2248,510,110,119,20,8648769,22739394
9/4/21,4025,1535,387,78,93,13,8613352,22774070
9/5/21,3228,1277,391,78,118,21,8593048,22792368
9/6/21,4023,1632,412,80,112,22,8543131,22840167
9/7/21,7374,2712,530,108,104,16,8494289,22889829
9/8/21,6650,2459,459,105,114,12,8446920,22937266
9/9/21,6115,2248,422,87,111,25,8399228,22984996
9/10/21,5551,2041,430,102,115,25,8343669,23046844
9/11/21,3666,1526,332,70,100,23,8310623,23085493
9/12/21,3125,1368,333,77,95,15,8292435,23106071
9/13/21,6242,2226,419,98,114,20,8249621,23156030
9/14/21,5614,2111,413,104,90,17,8208755,23205252
9/15/21,5226,2000,380,91,90,21,8166262,23250039
9/16/21,4662,1837,329,93,100,18,8127532,23294443
9/17/21,4265,1682,365,69,102,13,8081056,23353909
9/18/21,2836,1242,264,68,112,14,8055347,23387252
9/19/21,2409,1122,281,70,75,12,8039256,23405544
9/20/21,5172,2023,372,78,96,18,8031034,23415515
9/21/21,4441,1798,342,95,78,16,7996562,23471820
9/22/21,4289,1760,312,64,110,14,7960651,23517062
9/23/21,3740,1569,264,66,90,25,7925061,23561716
9/24/21,3555,1518,254,74,82,19,7883386,23619233
9/25/21,2324,1176,247,77,101,13,7858760,23654003
9/26/21,2131,1023,243,47,81,10,7844738,23672817
9/27/21,4396,1842,319,71,85,14,7812357,23718654
9/28/21,3840,1688,265,70,77,16,7781828,23763339
9/29/21,3531,1549,255,65,87,15,7750973,23807407
9/30/21,3258,1443,247,57,67,19,7719176,23852470
10/1/21,3231,1429,274,67,72,15,7683910,23906205
10/2/21,2087,988,216,65,90,20,7662437,23937464
10/3/21,1874,960,193,42,64,15,7650272,23955000
10/4/21,3790,1806,296,89,62,10,7620273,23996621
10/5/21,3442,1675,251,81,78,19,7591736,24034590
10/6/21,3332,1545,257,72,94,13,7564034,24071219
10/7/21,3014,1365,233,70,77,16,7537128,24105236
10/8/21,2823,1435,229,67,71,7,7503287,24149997
10/9/21,1873,1065,205,54,56,12,7483462,24174991
10/10/21,1824,941,197,43,63,8,7473535,24188863
10/11/21,3193,1588,256,80,50,16,7443004,24214333
10/12/21,3152,1634,205,79,51,11,7411593,24248611
10/13/21,3118,1513,244,65,49,6,7381319,24284120
10/14/21,2955,1359,238,86,55,12,7350873,24320377
10/15/21,2893,1446,244,94,47,12,7317377,24360620
10/16/21,1972,1089,195,50,62,11,7298801,24382846
10/17/21,1934,1093,206,62,56,13,7287506,24395953
10/18/21,3896,1926,291,90,52,11,7260291,24424734
10/19/21,3449,1796,265,84,45,16,7233767,24453062
10/20/21,3351,1780,234,68,47,13,7207597,24481399
10/21/21,3215,1643,256,110,88,11,7179951,24510080
10/22/21,3202,1691,274,87,57,15,7144830,24546365
10/23/21,2214,1199,232,69,51,13,7126286,24566207
10/24/21,1941,1121,211,66,50,9,7115647,24577586
10/25/21,3933,2033,332,112,52,7,7087965,24605470
10/26/21,3752,1844,275,76,51,10,7062748,24632865
10/27/21,3516,1852,281,88,49,9,7038160,24658934
10/28/21,3360,1621,272,75,47,16,7013838,24684739
10/29/21,3011,1550,273,70,47,13,6983694,24717102
10/30/21,2117,1197,225,58,58,13,6967669,24734025
10/31/21,1893,1096,210,57,46,10,6958432,24743167
11/1/21,4020,2099,305,85,55,8,6933409,24770504
11/2/21,3559,1807,275,63,55,14,6911957,24795033
11/3/21,3404,1866,291,88,46,18,6890695,24819171
11/4/21,3291,1651,241,74,43,13,6869087,24843852
11/5/21,2965,1583,236,51,53,11,6839896,24875856
11/6/21,1963,1168,210,56,56,12,6823275,24893670
11/7/21,1909,1050,203,55,61,17,6814452,24903132
11/8/21,3560,1882,266,74,54,14,6787187,24931029
11/9/21,3281,1663,235,69,55,18,6759753,24958739
11/10/21,3076,1579,230,55,49,10,6732549,24986090
11/11/21,2362,1262,207,50,61,17,6706608,25014057
11/12/21,2691,1455,215,62,52,14,6675991,25047356
11/13/21,1846,1013,211,57,44,11,6659799,25064654
11/14/21,1736,988,169,52,48,16,6650880,25074357
11/15/21,3401,1847,246,70,58,17,6622028,25104067
11/16/21,2886,1608,212,57,42,7,6593224,25132562
11/17/21,2754,1528,225,62,56,12,6565072,25159879
11/18/21,2532,1310,194,48,52,9,6536511,25187383
11/19/21,2406,1337,187,49,64,14,6502881,25221261
11/20/21,1725,1026,168,41,51,12,6486109,25238066
11/21/21,1632,905,180,61,49,14,6476385,25247862
11/22/21,2854,1564,205,63,54,8,6447507,25275349
11/23/21,2627,1510,228,79,54,16,6416661,25301295
11/24/21,2520,1492,216,57,38,15,6385937,25326111
11/25/21,1222,753,173,51,37,13,6357691,25348882
11/26/21,2319,1341,215,44,45,12,6324259,25378185
11/27/21,2248,1331,188,54,39,8,6305586,25392956
11/28/21,2267,1480,196,63,30,16,6295200,25400861
11/29/21,4275,2479,253,74,57,12,6265662,25425289
11/30/21,3648,2115,248,81,36,9,6234117,25450292
12/1/21,3898,2312,273,106,48,9,6202915,25475063
12/2/21,3250,1923,212,85,52,15,6172239,25499096
12/3/21,3095,1877,257,63,41,15,6138094,25526252
12/4/21,2179,1325,185,55,53,10,6117439,25540727
12/5/21,2058,1210,197,76,34,15,6106559,25548432
12/6/21,3910,2232,261,79,30,9,6075485,25572577
12/7/21,3402,1899,246,52,47,13,6043191,25596781
12/8/21,3372,1937,233,61,39,9,6014198,25618204
12/9/21,2911,1763,194,62,39,12,6013285,25619110
12/10/21,2900,1774,211,55,35,10,5993592,25636669
12/11/21,2176,1387,208,59,39,10,5980417,25648380
12/12/21,2161,1633,172,55,41,9,5971670,25655350
12/13/21,4287,3227,201,69,45,9,5945885,25680543
12/14/21,4039,3199,201,69,47,12,5915986,25706898
12/15/21,4733,3887,192,77,46,7,5882919,25733315
12/16/21,4673,4099,200,74,51,13,5850186,25759616
12/17/21,5054,4552,192,70,41,8,5815687,25789340
12/18/21,4186,4371,157,70,38,6,5797334,25804561
12/19/21,4436,4951,164,60,44,13,5786787,25812286
12/20/21,9653,10829,265,110,42,9,5755641,25836845
12/21/21,11306,12813,207,139,37,7,5723709,25862487
12/22/21,12916,14889,252,134,34,6,5691930,25887974
12/23/21,12959,15256,251,129,42,13,5661511,25911321
12/24/21,8150,10680,252,119,34,14,5631810,25937064
12/25/21,5144,6944,239,137,32,9,5614599,25951579
12/26/21,12814,17549,296,189,36,5,5604913,25958595
12/27/21,28420,35759,390,313,45,10,5577865,25979628
12/28/21,33785,41431,418,313,25,7,5549900,26000997
12/29/21,33527,42054,389,294,39,10,5521127,26023062
12/30/21,31878,40099,386,345,33,7,5491648,26040121
12/31/21,18613,25367,386,302,40,14,5460432,26061335
1/1/22,10682,14884,409,276,31,14,5442848,26072991
1/2/22,19348,25622,381,303,38,9,5431836,26079349
1/3/22,49982,62421,565,405,52,12,5400226,26100091
1/4/22,57075,68356,548,398,43,10,5366521,26122173
1/5/22,55670,66899,531,387,44,12,5333250,26144365
1/6/22,50735,60571,485,385,44,19,5304487,26161830
1/7/22,46342,56649,475,300,42,13,5297610,26166729
1/8/22,25430,32858,379,273,48,18,5297389,26166802
1/9/22,18842,23304,382,256,40,18,5288335,26173079
1/10/22,50080,57577,426,285,51,18,5259866,26192594
1/11/22,47675,53470,392,264,59,20,5227927,26213977
1/12/22,44075,49933,311,227,42,27,5195273,26235579
1/13/22,40341,45697,239,164,52,21,5165170,26254991
1/14/22,35374,42792,235,174,45,10,5154220,26262114
